Serial_number:
2091437
Project ID:

Location:

LEVEL
UNIT: m
Offset: 0.000000 m
TEMPERATURE
UNIT: °C
Date,Time,ms,LEVEL,TEMPERATURE
03/08/2018,12:00:00 pm,0,9.912,24.20
03/08/2018,12:05:00 pm,0,9.915,24.40
03/08/2018,12:10:00 pm,0,9.915,24.70
03/08/2018,12:15:00 pm,0,9.915,25.00
03/08/2018,12:20:00 pm,0,9.915,25.30
03/08/2018,12:25:00 pm,0,9.915,25.60
03/08/2018,12:30:00 pm,0,9.915,25.90
03/08/2018,12:35:00 pm,0,9.915,26.20
03/08/2018,12:40:00 pm,0,9.915,26.50
03/08/2018,12:45:00 pm,0,9.912,26.80
03/08/2018,12:50:00 pm,0,9.912,27.10
03/08/2018,12:55:00 pm,0,9.912,27.40
03/08/2018,01:00:00 pm,0,9.915,27.70
03/08/2018,01:05:00 pm,0,9.915,28.00
03/08/2018,01:10:00 pm,0,9.912,28.20
03/08/2018,01:15:00 pm,0,9.912,28.50
03/08/2018,01:20:00 pm,0,9.915,28.80
03/08/2018,01:25:00 pm,0,9.915,29.00
03/08/2018,01:30:00 pm,0,9.915,29.20
03/08/2018,01:35:00 pm,0,9.915,29.50
03/08/2018,01:40:00 pm,0,9.915,29.80
03/08/2018,01:45:00 pm,0,9.912,30.10
03/08/2018,01:50:00 pm,0,9.915,30.50
03/08/2018,01:55:00 pm,0,9.912,30.80
03/08/2018,02:00:00 pm,0,9.915,31.20
03/08/2018,02:05:00 pm,0,9.915,31.50
03/08/2018,02:10:00 pm,0,9.900,31.90
03/08/2018,02:15:00 pm,0,9.921,32.10
03/08/2018,02:20:00 pm,0,9.924,32.40
03/08/2018,02:25:00 pm,0,9.921,32.50
03/08/2018,02:30:00 pm,0,9.921,32.50
03/08/2018,02:35:00 pm,0,9.921,32.50
03/08/2018,02:40:00 pm,0,9.921,32.40
03/08/2018,02:45:00 pm,0,9.921,32.40
03/08/2018,02:50:00 pm,0,9.921,32.30
03/08/2018,02:55:00 pm,0,9.921,32.20
03/08/2018,03:00:00 pm,0,9.921,32.10
03/08/2018,03:05:00 pm,0,9.921,31.90
03/08/2018,03:10:00 pm,0,9.921,31.80
03/08/2018,03:15:00 pm,0,9.921,31.60
03/08/2018,03:20:00 pm,0,9.921,31.50
03/08/2018,03:25:00 pm,0,9.921,31.30
03/08/2018,03:30:00 pm,0,9.921,31.20
03/08/2018,03:35:00 pm,0,9.921,31.10
03/08/2018,03:40:00 pm,0,9.921,31.00
03/08/2018,03:45:00 pm,0,9.921,30.90
03/08/2018,03:50:00 pm,0,9.921,30.80
03/08/2018,03:55:00 pm,0,9.921,30.70
03/08/2018,04:00:00 pm,0,9.921,30.60
03/08/2018,04:05:00 pm,0,9.924,30.50
03/08/2018,04:10:00 pm,0,9.924,30.50
03/08/2018,04:15:00 pm,0,9.924,30.40
03/08/2018,04:20:00 pm,0,9.924,30.30
03/08/2018,04:25:00 pm,0,9.921,30.20
03/08/2018,04:30:00 pm,0,9.924,30.10
03/08/2018,04:35:00 pm,0,9.927,30.00
03/08/2018,04:40:00 pm,0,9.930,29.90
03/08/2018,04:45:00 pm,0,9.930,29.80
03/08/2018,04:50:00 pm,0,9.930,29.70
03/08/2018,04:55:00 pm,0,9.930,29.50
03/08/2018,05:00:00 pm,0,9.930,29.30
03/08/2018,05:05:00 pm,0,9.930,29.10
03/08/2018,05:10:00 pm,0,9.930,29.00
03/08/2018,05:15:00 pm,0,9.933,28.80
03/08/2018,05:20:00 pm,0,9.933,28.60
03/08/2018,05:25:00 pm,0,9.933,28.40
03/08/2018,05:30:00 pm,0,9.936,28.20
03/08/2018,05:35:00 pm,0,9.936,28.00
